ranking,first_name,last_name,country,birthday,prize_money
2,Roger,Federer,SUI,1981-08-08,109853682
12,Novak,Djokovic,SRB,1987-05-22,109805403
1,Rafael,Nadal,ESP,1986-06-03,91323627
16,Andy,Murray,GBR,1987-05-15,60807644
37,David,Ferrer,ESP,1982-04-02,30796561
7,Stan,Wawrinka,SUI,1985-03-28,30623544
19,Tomas,Berdych,CZE,1985-09-17,28220153
15,Jo-Wilfried,Tsonga,FRA,1985-04-17,20808869
5,Marin,Cilic,CRO,1988-09-28,20320276
11,Juan Martin,del Potro,ARG,1988-09-23,18628003
22,Kei,Nishikori,JPN,1989-12-29,17624129
31,Richard,Gasquet,FRA,1986-06-18,15840750
24,Milos,Raonic,CAN,1990-12-27,15804114
36,Feliciano,Lopez,ESP,1981-09-20,14640010
35,Fernando,Verdasco,ESP,1983-11-15,14490880
83,Mikhail,Youzhny,RUS,1982-06-25,13863808
46,Gael,Monfils,FRA,1986-09-01,13744378
249,Tommy,Haas,GER,1978-04-03,13609987
151,Tommy,Robredo,ESP,1982-05-01,13172359
17,John,Isner,USA,1985-04-26,12567465
90,Gilles,Simon,FRA,1984-12-27,12475521
348,Radek,Stepanek,CZE,1978-11-27,11343464
147,Nicolas,Almagro,ESP,1985-08-21,10742287
29,Philipp,Kohlschreiber,GER,1983-10-16,10736926
6,Grigor,Dimitrov,BUL,1991-05-16,10554976
14,Kevin,Anderson,RSA,1986-05-18,10241620
13,Sam,Querrey,USA,1987-10-07,9977508
190,Jurgen,Melzer,AUT,1981-05-22,9936146
178,Marcel,Granollers,ESP,1986-04-12,9354548
27,Fabio,Fognini,ITA,1987-05-24,9337102
57,Julien,Benneteau,FRA,1981-12-20,8997245
79,Ivo,Karlovic,CRO,1979-02-28,8790533
89,Andreas,Seppi,ITA,1984-02-21,8767857
103,Nicolas,Mahut,FRA,1982-01-21,8725768
4,Dominic,Thiem,AUT,1993-09-03,8495497
105,Janko,Tipsarevic,SRB,1984-06-22,8189576
101,Marcos,Baghdatis,CYP,1985-06-17,8147973
55,Viktor,Troicki,SRB,1986-02-10,8060087
8,David,Goffin,BEL,1990-12-07,7477195
70,Guillermo,Garcia-Lopez,ESP,1983-06-04,7454851
20,Roberto,Bautista Agut,ESP,1988-04-14,7430934
9,Jack,Sock,USA,1992-09-24,7288779
77,Jeremy,Chardy,FRA,1987-02-12,7093244
69,Florian,Mayer,GER,1983-10-05,6914734
38,Alexandr,Dolgopolov,UKR,1988-11-07,6894349
32,Pablo,Cuevas,URU,1986-01-01,6727812
200,Ernests,Gulbis,LAT,1988-08-30,6459404
5,Ivan,Dodig,CRO,1985-01-02,6315290
246,Paul-Henri,Mathieu,FRA,1982-01-12,6299093
485,Dmitry,Tursunov,RUS,1982-12-12,5920125
3,Alexander,Zverev,GER,1997-04-20,5859628
21,Nick,Kyrgios,AUS,1995-04-27,5514920
23,Albert,Ramos-Vinolas,ESP,1988-01-17,5425723
25,Gilles,Muller,LUX,1983-05-09,5403128
56,Denis,Istomin,UZB,1986-09-07,5336016
10,Pablo,Carreno Busta,ESP,1991-07-12,5323293
141,Bernard,Tomic,AUS,1992-10-21,5293195
42,Robin,Haase,NED,1987-04-06,5269193
41,Benoit,Paire,FRA,1989-05-08,5179002
112,Thomaz,Bellucci,BRA,1987-12-30,5157757
71,Yen-Hsun,Lu,TPE,1983-08-14,4796896
52,Leonardo,Mayer,ARG,1987-05-15,4784952
116,Sergiy,Stakhovsky,UKR,1986-01-06,4783571
28,Adrian,Mannarino,FRA,1988-06-29,4758169
109,Vasek,Pospisil,CAN,1990-06-23,4748682
171,Simone,Bolelli,ITA,1985-10-08,4726425
18,Lucas,Pouille,FRA,1994-02-23,4514157
519,Benjamin,Becker,GER,1981-06-16,4399584
1726,Pablo,Andujar,ESP,1986-01-23,4301653
58,Joao,Sousa,POR,1989-03-30,4296925
225,Santiago,Giraldo,COL,1987-11-27,4278893
143,Martin,Klizan,SVK,1989-07-11,4274759
44,Steve,Johnson,USA,1989-12-24,4231510
62,Donald,Young,USA,1989-07-23,4216868
33,Mischa,Zverev,GER,1987-08-22,4115572
205,Lukas,Rosol,CZE,1985-07-24,4096004
22,Rajeev,Ram,USA,1984-03-18,4074933
1623,Younes,El Aynaoui,MAR,1971-09-12,4044667
43,Paolo,Lorenzi,ITA,1981-12-15,4039685
121,Carlos,Berlocq,ARG,1983-02-03,4009407
234,Teymuraz,Gabashvili,RUS,1985-05-23,3996641
80,Pierre-Hugues,Herbert,FRA,1991-03-18,3967701
122,Jerzy,Janowicz,POL,1990-11-13,3753236
74,Mikhail,Kukushkin,KAZ,1987-12-26,3663017
66,Horacio,Zeballos,ARG,1985-04-27,3602816
67,Dudi,Sela,ISR,1985-04-04,3574712
47,Ryan,Harrison,USA,1992-05-07,3523828
362,Daniel,Gimeno-Traver,ESP,1985-08-07,3159310
407,Alejandro,Falla,COL,1983-11-14,3101331
26,Diego,Schwartzman,ARG,1992-08-16,3013699
76,Steve,Darcis,BEL,1984-03-13,2989098
63,Jiri,Vesely,CZE,1993-07-10,2917835
68,Federico,Delbonis,ARG,1990-10-05,2788347
104,Lukas,Lacko,SVK,1987-11-03,2773281
107,Andrey,Kuznetsov,RUS,1991-02-22,2712720
583,Andrey,Golubev,KAZ,1987-07-22,2663623
124,Dustin,Brown,GER,1984-12-08,2633386
48,Borna,Coric,CRO,1996-11-14,2605378
96,Malek,Jaziri,TUN,1984-01-20,2394064
54,Jan-Lennard,Struff,GER,1990-04-25,2377544
423,Ruben,Ramirez Hidalgo,ESP,1978-01-06,2346155
75,Dusan,Lajovic,SRB,1990-06-30,2307855
49,Aljaz,Bedene,GBR,1989-07-18,2289561
231,Stephane,Robert,FRA,1980-05-17,2211734
232,Tobias,Kamke,GER,1986-05-21,2201296
30,Damir,Dzumhur,BIH,1992-05-20,2180869
1314,Jan,Hernych,CZE,1979-07-07,2178092
142,Ricardas,Berankis,LTU,1990-06-21,2162375
545,Igor,Sijsling,NED,1987-08-18,2149200
50,Kyle,Edmund,GBR,1995-01-08,2117993
312,Daniel,Brands,GER,1987-07-17,2037887
410,Marinko,Matosevic,AUS,1985-08-08,2026960
382,Marco,Chiudinelli,SUI,1981-09-10,2023620
98,Matthew,Ebden,AUS,1987-11-26,1958960
82,Victor,Estrella Burgos,DOM,1980-08-02,1958311
198,Illya,Marchenko,UKR,1987-09-08,1944899
72,Evgeny,Donskoy,RUS,1990-05-09,1935575
243,Sam,Groth,AUS,1987-10-19,1906262
64,Guido,Pella,ARG,1990-05-17,1892801
389,Maximo,Gonzalez,ARG,1983-07-20,1858927
45,Karen,Khachanov,RUS,1996-05-21,1848679
335,Frank,Dancevic,CAN,1984-09-26,1844432
165,Go,Soeda,JPN,1984-09-05,1758391
447,Andreas,Haider-Maurer,AUT,1987-03-22,1755614
367,Thiemo,de Bakker,NED,1988-09-19,1719418
102,Blaz,Kavcic,SLO,1987-03-05,1715136
39,Andrey,Rublev,RUS,1997-10-20,1697899
59,Hyeon,Chung,KOR,1996-05-19,1687063
175,Denis,Kudla,USA,1992-08-17,1666932
152,Tim,Smyczek,USA,1987-12-30,1666606
40,Yuichi,Sugita,JPN,1988-09-18,1613571
94,Rogerio,Dutra Silva,BRA,1984-02-05,1500155
156,Kenny,De Schepper,FRA,1987-05-29,1499015
53,Jared,Donaldson,USA,1996-10-09,1457145
265,Fred,Gil,POR,1985-03-24,1440276
60,Nikoloz,Basilashvili,GEO,1992-02-23,1409671
106,Ruben,Bemelmans,BEL,1988-01-14,1402730
762,Pere,Riba,ESP,1988-04-07,1360863
179,John,Millman,AUS,1989-06-14,1351481
34,Filip,Krajinovic,SRB,1992-02-27,1346124
306,Marsel,Ilhan,TUR,1987-06-11,1344143
134,Daniel,Evans,GBR,1990-05-23,1339693
440,Michal,Przysiezny,POL,1984-02-16,1335820
252,Joao,Souza,BRA,1988-05-27,1303842
149,Tatsuma,Ito,JPN,1988-05-18,1297775
86,Radu,Albot,MDA,1989-11-11,1268479
183,Matthias,Bachinger,GER,1987-04-02,1243582
571,Grega,Zemlja,SLO,1986-09-29,1242858
845,James,Ward,GBR,1987-02-09,1222984
43,Brian,Baker,USA,1985-04-30,1184653
61,Peter,Gojowczyk,GER,1989-07-15,1169213
92,Marius,Copil,ROU,1990-10-17,1153837
847,Jimmy,Wang,TPE,1985-02-08,1143626
162,Facundo,Bagnis,ARG,1990-02-27,1119330
287,Daniel,Munoz de la Nava,ESP,1982-01-29,1080506
406,James,Duckworth,AUS,1992-01-21,1076096
368,Alejandro,Gonzalez,COL,1989-02-07,1058425
16,Mate,Pavic,CRO,1993-07-04,1058004
243,Inigo,Cervantes,ESP,1989-11-30,1047395
269,Konstantin,Kravchuk,RUS,1985-02-23,1031708
73,Thomas,Fabbiano,ITA,1989-05-26,1021151
113,Gastao,Elias,POR,1990-11-24,1020981
95,Jordan,Thompson,AUS,1994-04-20,981787
138,Peter,Polansky,CAN,1988-06-15,968243
110,Taylor,Fritz,USA,1997-10-28,964643
504,Adrian,Ungur,ROU,1985-01-22,961008
1314,Jesse,Huta Galung,NED,1985-10-06,946839
65,Daniil,Medvedev,RUS,1996-02-11,939364
210,Thanasi,Kokkinakis,AUS,1996-04-10,938439
127,Adrian,Menendez-Maceiras,ESP,1985-10-28,933322
97,Taro,Daniel,JPN,1993-01-27,932382
245,Frederik,Nielsen,DEN,1983-08-27,928301
538,Alexander,Kudryavtsev,RUS,1985-10-26,909894
